[2026-02-06 09:45:32] - Inicio ejecución (origen: CN=Computers,DC=juan,DC=local) - OK
[2026-02-06 09:45:32] - Comprobar OU OU=Empresa,DC=juan,DC=local - OK (existe)
[2026-02-06 09:45:32] - Crear OU OU=Equipos,OU=Empresa,DC=juan,DC=local - OK (creada)
[2026-02-06 09:45:32] - Comprobar OU OU=Empresa,DC=juan,DC=local - OK (existe)
[2026-02-06 09:45:32] - Comprobar OU OU=Equipos,OU=Empresa,DC=juan,DC=local - OK (existe)
[2026-02-06 09:45:32] - Crear OU OU=IT,OU=Equipos,OU=Empresa,DC=juan,DC=local - OK (creada)
[2026-02-06 09:45:32] - Mover IT-PC01 -> OU=IT,OU=Equipos,OU=Empresa,DC=juan,DC=local - OK
[2026-02-06 09:45:32] - Comprobar OU OU=Empresa,DC=juan,DC=local - OK (existe)
[2026-02-06 09:45:32] - Comprobar OU OU=Equipos,OU=Empresa,DC=juan,DC=local - OK (existe)
[2026-02-06 09:45:32] - Comprobar OU OU=IT,OU=Equipos,OU=Empresa,DC=juan,DC=local - OK (existe)
[2026-02-06 09:45:32] - Mover IT-PC02 -> OU=IT,OU=Equipos,OU=Empresa,DC=juan,DC=local - OK
[2026-02-06 09:45:32] - Comprobar OU OU=Empresa,DC=juan,DC=local - OK (existe)
[2026-02-06 09:45:32] - Comprobar OU OU=Equipos,OU=Empresa,DC=juan,DC=local - OK (existe)
[2026-02-06 09:45:32] - Comprobar OU OU=IT,OU=Equipos,OU=Empresa,DC=juan,DC=local - OK (existe)
[2026-02-06 09:45:32] - Mover IT-PC03 -> OU=IT,OU=Equipos,OU=Empresa,DC=juan,DC=local - OK
[2026-02-06 09:45:32] - Comprobar OU OU=Empresa,DC=juan,DC=local - OK (existe)
[2026-02-06 09:45:32] - Comprobar OU OU=Equipos,OU=Empresa,DC=juan,DC=local - OK (existe)
[2026-02-06 09:45:32] - Comprobar OU OU=IT,OU=Equipos,OU=Empresa,DC=juan,DC=local - OK (existe)
[2026-02-06 09:45:32] - Mover IT-PC04 -> OU=IT,OU=Equipos,OU=Empresa,DC=juan,DC=local - OK
[2026-02-06 09:45:32] - Comprobar OU OU=Empresa,DC=juan,DC=local - OK (existe)
[2026-02-06 09:45:32] - Comprobar OU OU=Equipos,OU=Empresa,DC=juan,DC=local - OK (existe)
[2026-02-06 09:45:32] - Comprobar OU OU=IT,OU=Equipos,OU=Empresa,DC=juan,DC=local - OK (existe)
[2026-02-06 09:45:32] - Mover IT-PC05 -> OU=IT,OU=Equipos,OU=Empresa,DC=juan,DC=local - OK
[2026-02-06 09:45:32] - Comprobar OU OU=Empresa,DC=juan,DC=local - OK (existe)
[2026-02-06 09:45:32] - Comprobar OU OU=Equipos,OU=Empresa,DC=juan,DC=local - OK (existe)
[2026-02-06 09:45:32] - Crear OU OU=RRHH,OU=Equipos,OU=Empresa,DC=juan,DC=local - OK (creada)
[2026-02-06 09:45:32] - Mover RRHH-PC01 -> OU=RRHH,OU=Equipos,OU=Empresa,DC=juan,DC=local - OK
[2026-02-06 09:45:32] - Comprobar OU OU=Empresa,DC=juan,DC=local - OK (existe)
[2026-02-06 09:45:32] - Comprobar OU OU=Equipos,OU=Empresa,DC=juan,DC=local - OK (existe)
[2026-02-06 09:45:32] - Comprobar OU OU=RRHH,OU=Equipos,OU=Empresa,DC=juan,DC=local - OK (existe)
